Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change
"Tippecanoe County, IN",18,157,2020,January,1,1,61,5.20%
"Tippecanoe County, IN",18,157,2020,January,1,2,87,58.20%
"Tippecanoe County, IN",18,157,2020,January,1,3,59,40.50%
"Tippecanoe County, IN",18,157,2020,January,1,4,46,17.90%
"Tippecanoe County, IN",18,157,2020,February,2,5,45,2.30%
"Tippecanoe County, IN",18,157,2020,February,2,6,51,30.80%
"Tippecanoe County, IN",18,157,2020,February,2,7,50,100.00%
"Tippecanoe County, IN",18,157,2020,February,2,8,46,91.70%
"Tippecanoe County, IN",18,157,2020,February,2,9,53,178.90%
"Tippecanoe County, IN",18,157,2020,March,3,10,44,69.20%
"Tippecanoe County, IN",18,157,2020,March,3,11,55,111.50%
"Tippecanoe County, IN",18,157,2020,March,3,12,"1,126",4230.80%
"Tippecanoe County, IN",18,157,2020,March,3,13,"2,238",13064.70%
"Tippecanoe County, IN",18,157,2020,April,4,14,"2,276",7748.30%
"Tipton County, IN",18,159,2020,January,1,1,11,-42.10%
"Tipton County, IN",18,159,2020,January,1,2,14,27.30%
"Tipton County, IN",18,159,2020,January,1,3,10,100.00%
"Tipton County, IN",18,159,2020,January,1,4,,
"Tipton County, IN",18,159,2020,February,2,5,,
"Tipton County, IN",18,159,2020,February,2,6,,
"Tipton County, IN",18,159,2020,February,2,7,,
"Tipton County, IN",18,159,2020,February,2,8,,
"Tipton County, IN",18,159,2020,February,2,9,,
"Tipton County, IN",18,159,2020,March,3,11,,
"Tipton County, IN",18,159,2020,March,3,12,145,100.00%
"Tipton County, IN",18,159,2020,March,3,13,510,5000.00%
"Tipton County, IN",18,159,2020,April,4,14,249,301.60%
"Union County, IN",18,161,2020,January,1,1,,
"Union County, IN",18,161,2020,January,1,2,,
"Union County, IN",18,161,2020,January,1,3,,
"Union County, IN",18,161,2020,February,2,5,,
"Union County, IN",18,161,2020,February,2,8,,
"Union County, IN",18,161,2020,February,2,9,,
"Union County, IN",18,161,2020,March,3,10,,
"Union County, IN",18,161,2020,March,3,11,,
"Union County, IN",18,161,2020,March,3,12,33,100.00%
"Union County, IN",18,161,2020,March,3,13,74,
"Union County, IN",18,161,2020,April,4,14,64,
"Vanderburgh County, IN",18,163,2020,January,1,1,110,15.80%
"Vanderburgh County, IN",18,163,2020,January,1,2,139,5.30%
"Vanderburgh County, IN",18,163,2020,January,1,3,98,-3.90%
"Vanderburgh County, IN",18,163,2020,January,1,4,85,-5.60%
"Vanderburgh County, IN",18,163,2020,February,2,5,138,50.00%
"Vanderburgh County, IN",18,163,2020,February,2,6,100,33.30%
"Vanderburgh County, IN",18,163,2020,February,2,7,84,15.10%
"Vanderburgh County, IN",18,163,2020,February,2,8,67,-8.20%
"Vanderburgh County, IN",18,163,2020,February,2,9,74,34.50%
"Vanderburgh County, IN",18,163,2020,March,3,10,64,12.30%
"Vanderburgh County, IN",18,163,2020,March,3,11,83,80.40%
"Vanderburgh County, IN",18,163,2020,March,3,12,"1,808",3187.30%
"Vanderburgh County, IN",18,163,2020,March,3,13,"2,997",6276.60%
"Vanderburgh County, IN",18,163,2020,April,4,14,"3,185",6400.00%
"Vermillion County, IN",18,165,2020,January,1,1,,
"Vermillion County, IN",18,165,2020,January,1,2,10,-68.80%
"Vermillion County, IN",18,165,2020,January,1,3,17,41.70%
"Vermillion County, IN",18,165,2020,January,1,4,,
"Vermillion County, IN",18,165,2020,February,2,5,,
"Vermillion County, IN",18,165,2020,February,2,6,,
"Vermillion County, IN",18,165,2020,February,2,7,,
"Vermillion County, IN",18,165,2020,February,2,8,,
"Vermillion County, IN",18,165,2020,February,2,9,,
"Vermillion County, IN",18,165,2020,March,3,10,,
"Vermillion County, IN",18,165,2020,March,3,11,,
"Vermillion County, IN",18,165,2020,March,3,12,67,100.00%
"Vermillion County, IN",18,165,2020,March,3,13,165,100.00%
"Vermillion County, IN",18,165,2020,April,4,14,132,100.00%
"Vigo County, IN",18,167,2020,January,1,1,69,-33.70%
"Vigo County, IN",18,167,2020,January,1,2,110,
"Vigo County, IN",18,167,2020,January,1,3,55,-11.30%
"Vigo County, IN",18,167,2020,January,1,4,51,-37.00%
"Vigo County, IN",18,167,2020,February,2,5,50,-31.50%
"Vigo County, IN",18,167,2020,February,2,6,45,-26.20%
"Vigo County, IN",18,167,2020,February,2,7,40,11.10%
"Vigo County, IN",18,167,2020,February,2,8,33,-19.50%
"Vigo County, IN",18,167,2020,February,2,9,35,-5.40%
"Vigo County, IN",18,167,2020,March,3,10,38,-15.60%
"Vigo County, IN",18,167,2020,March,3,11,29,-12.10%
"Vigo County, IN",18,167,2020,March,3,12,892,3203.70%
"Vigo County, IN",18,167,2020,March,3,13,"1,506",9312.50%
"Vigo County, IN",18,167,2020,April,4,14,"1,537",4858.10%
"Wabash County, IN",18,169,2020,January,1,1,22,69.20%
"Wabash County, IN",18,169,2020,January,1,2,28,40.00%
"Wabash County, IN",18,169,2020,January,1,3,12,-14.30%
"Wabash County, IN",18,169,2020,January,1,4,11,-38.90%
"Wabash County, IN",18,169,2020,February,2,5,,
"Wabash County, IN",18,169,2020,February,2,6,23,53.30%
"Wabash County, IN",18,169,2020,February,2,7,,
"Wabash County, IN",18,169,2020,February,2,8,11,100.00%
"Wabash County, IN",18,169,2020,February,2,9,,
"Wabash County, IN",18,169,2020,March,3,10,10,100.00%
"Wabash County, IN",18,169,2020,March,3,11,11,100.00%
"Wabash County, IN",18,169,2020,March,3,12,211,100.00%
"Wabash County, IN",18,169,2020,March,3,13,512,100.00%
"Wabash County, IN",18,169,2020,April,4,14,287,1950.00%
"Warren County, IN",18,171,2020,January,1,1,,
"Warren County, IN",18,171,2020,January,1,2,,
"Warren County, IN",18,171,2020,January,1,3,,
"Warren County, IN",18,171,2020,January,1,4,,
"Warren County, IN",18,171,2020,February,2,5,,
"Warren County, IN",18,171,2020,February,2,6,,
"Warren County, IN",18,171,2020,February,2,7,,
"Warren County, IN",18,171,2020,February,2,9,,
"Warren County, IN",18,171,2020,March,3,11,,
"Warren County, IN",18,171,2020,March,3,12,26,100.00%
"Warren County, IN",18,171,2020,March,3,13,53,100.00%
"Warren County, IN",18,171,2020,April,4,14,95,
"Warrick County, IN",18,173,2020,January,1,1,38,-13.60%
"Warrick County, IN",18,173,2020,January,1,2,40,-34.40%
"Warrick County, IN",18,173,2020,January,1,3,32,-15.80%
"Warrick County, IN",18,173,2020,January,1,4,28,-6.70%
"Warrick County, IN",18,173,2020,February,2,5,42,2.40%
"Warrick County, IN",18,173,2020,February,2,6,25,-21.90%
"Warrick County, IN",18,173,2020,February,2,7,20,-33.30%
"Warrick County, IN",18,173,2020,February,2,8,24,-7.70%
"Warrick County, IN",18,173,2020,February,2,9,13,-51.90%
"Warrick County, IN",18,173,2020,March,3,10,14,-36.40%
"Warrick County, IN",18,173,2020,March,3,11,21,40.00%
"Warrick County, IN",18,173,2020,March,3,12,368,2353.30%
"Warrick County, IN",18,173,2020,March,3,13,824,8140.00%
"Warrick County, IN",18,173,2020,April,4,14,992,5411.10%
"Washington County, IN",18,175,2020,January,1,1,24,-40.00%
"Washington County, IN",18,175,2020,January,1,2,28,-22.20%
"Washington County, IN",18,175,2020,January,1,3,17,13.30%
"Washington County, IN",18,175,2020,January,1,4,10,-54.50%
"Washington County, IN",18,175,2020,February,2,5,10,-44.40%
"Washington County, IN",18,175,2020,February,2,6,,
"Washington County, IN",18,175,2020,February,2,7,13,-31.60%
"Washington County, IN",18,175,2020,February,2,8,,
"Washington County, IN",18,175,2020,February,2,9,10,100.00%
"Washington County, IN",18,175,2020,March,3,10,11,100.00%
"Washington County, IN",18,175,2020,March,3,11,14,100.00%
"Washington County, IN",18,175,2020,March,3,12,268,100.00%
"Washington County, IN",18,175,2020,March,3,13,619,100.00%
"Washington County, IN",18,175,2020,April,4,14,365,3550.00%
"Wayne County, IN",18,177,2020,January,1,1,37,-21.30%
"Wayne County, IN",18,177,2020,January,1,2,41,24.20%
"Wayne County, IN",18,177,2020,January,1,3,32,-5.90%
"Wayne County, IN",18,177,2020,January,1,4,24,-17.20%
"Wayne County, IN",18,177,2020,February,2,5,14,-33.30%
"Wayne County, IN",18,177,2020,February,2,6,18,-5.30%
"Wayne County, IN",18,177,2020,February,2,7,25,
"Wayne County, IN",18,177,2020,February,2,8,19,-5.00%
"Wayne County, IN",18,177,2020,February,2,9,10,-41.20%
"Wayne County, IN",18,177,2020,March,3,10,29,52.60%
"Wayne County, IN",18,177,2020,March,3,11,22,46.70%
"Wayne County, IN",18,177,2020,March,3,12,623,5091.70%
"Wayne County, IN",18,177,2020,March,3,13,907,5946.70%
"Wayne County, IN",18,177,2020,April,4,14,786,4266.70%
"Wells County, IN",18,179,2020,January,1,1,22,15.80%
"Wells County, IN",18,179,2020,January,1,2,13,8.30%
"Wells County, IN",18,179,2020,January,1,3,19,100.00%
"Wells County, IN",18,179,2020,January,1,4,,
"Wells County, IN",18,179,2020,February,2,5,15,36.40%
"Wells County, IN",18,179,2020,February,2,6,,
"Wells County, IN",18,179,2020,February,2,7,,
"Wells County, IN",18,179,2020,February,2,8,24,100.00%
"Wells County, IN",18,179,2020,February,2,9,,
"Wells County, IN",18,179,2020,March,3,10,10,100.00%
"Wells County, IN",18,179,2020,March,3,11,,
"Wells County, IN",18,179,2020,March,3,12,125,100.00%
"Wells County, IN",18,179,2020,March,3,13,578,100.00%
"Wells County, IN",18,179,2020,April,4,14,457,100.00%
"White County, IN",18,181,2020,January,1,1,19,-29.60%
"White County, IN",18,181,2020,January,1,2,16,14.30%
"White County, IN",18,181,2020,January,1,3,19,58.30%
"White County, IN",18,181,2020,January,1,4,13,-18.80%
"White County, IN",18,181,2020,February,2,5,19,100.00%
"White County, IN",18,181,2020,February,2,6,,
"White County, IN",18,181,2020,February,2,7,16,100.00%
"White County, IN",18,181,2020,February,2,8,12,100.00%
"White County, IN",18,181,2020,February,2,9,,
"White County, IN",18,181,2020,March,3,10,13,100.00%
"White County, IN",18,181,2020,March,3,11,10,-16.70%
"White County, IN",18,181,2020,March,3,12,118,100.00%
"White County, IN",18,181,2020,March,3,13,356,100.00%
"White County, IN",18,181,2020,April,4,14,373,100.00%
"Whitley County, IN",18,183,2020,January,1,1,15,-34.80%
"Whitley County, IN",18,183,2020,January,1,2,18,-21.70%
"Whitley County, IN",18,183,2020,January,1,3,23,9.50%
"Whitley County, IN",18,183,2020,January,1,4,17,13.30%
"Whitley County, IN",18,183,2020,February,2,5,14,-6.70%
"Whitley County, IN",18,183,2020,February,2,6,10,-52.40%
"Whitley County, IN",18,183,2020,February,2,7,,
"Whitley County, IN",18,183,2020,February,2,8,20,81.80%
"Whitley County, IN",18,183,2020,February,2,9,12,-20.00%
"Whitley County, IN",18,183,2020,March,3,10,10,100.00%
"Whitley County, IN",18,183,2020,March,3,11,17,100.00%
"Whitley County, IN",18,183,2020,March,3,12,210,100.00%
"Whitley County, IN",18,183,2020,March,3,13,819,100.00%
"Whitley County, IN",18,183,2020,April,4,14,671,6610.00%
